0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:32:57 +0530] "GET /ATTRIBUTE/viewfile.jsp?id=2&fname=second&oname=sa HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:32:57 +0530] "GET /ATTRIBUTE/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:32:57 +0530] "GET /ATTRIBUTE/css/coin-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:32:57 +0530] "GET /ATTRIBUTE/js/cufon-yui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:32:57 +0530] "GET /ATTRIBUTE/js/cufon-ptsans.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:32:57 +0530] "GET /ATTRIBUTE/js/jquery-1.4.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:32:57 +0530] "GET /ATTRIBUTE/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:32:57 +0530] "GET /ATTRIBUTE/js/coin-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:32:57 +0530] "GET /ATTRIBUTE/js/jquery.min.js HTTP/1.1" 200 94839
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:13 +0530] "GET /ATTRIBUTE/ViewOwnerFiles.jsp HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:15 +0530] "GET /ATTRIBUTE/viewfile.jsp?id=3&fname=sss&oname=sa HTTP/1.1" 200 4813
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:15 +0530] "GET /ATTRIBUTE/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:27 +0530] "POST /ATTRIBUTE/viewassign.jsp HTTP/1.1" 200 5023
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:37 +0530] "GET /ATTRIBUTE/ViewSecretKey.jsp HTTP/1.1" 200 3772
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:44 +0530] "GET /ATTRIBUTE/index.html HTTP/1.1" 200 4305
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:47 +0530] "GET /ATTRIBUTE/EndUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:51 +0530] "POST /ATTRIBUTE/enduserauth.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:51 +0530] "GET /ATTRIBUTE/EndUserMain.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:55 +0530] "GET /ATTRIBUTE/SecretKey.jsp HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:57 +0530] "POST /ATTRIBUTE/findsk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:33:57 +0530] "GET /ATTRIBUTE/SecretKey.jsp HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:34:05 +0530] "POST /ATTRIBUTE/findsk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:34:05 +0530] "GET /ATTRIBUTE/SecretKey.jsp HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:34:12 +0530] "GET /ATTRIBUTE/SecretKey.jsp HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:34:13 +0530] "GET /ATTRIBUTE/SecretKey.jsp HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [22/Feb/2018:14:34:14 +0530] "GET /ATTRIBUTE/Request.jsp HTTP/1.1" 200 3522
